"business_id","business_name","business_address","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","violation_id","violation_description","risk_category"
5839,"ALICE FONG YU ELEMENTARY SCHOOL","1541 12th Ave",94122,37.759386,-122.469292,"(37.759386, -122.469292)",14155752764,"5839_20160314","3/14/16",100,"","",""
5837,"MCKINLEY ELEMENTARY SCHOOL","1025 14th St",94114,37.767231,-122.436377,"(37.767231, -122.436377)",14155246300,"5837_20160309","3/9/16",100,"","",""
5852,"CARVER ELEMENTARY SCHOOL","1360 OAKDALE Ave",94124,37.732408,-122.386391,"(37.732408, -122.386391)",14155331540,"5852_20180223","2/23/18",100,"","",""
63079,"G. L. Alfieri, LLC","1 Ferry Building",94111,37.795225,-122.39377,"(37.795225, -122.39377)",14159533448,"63079_20160330","3/30/16",100,"","",""
5858,"DREW ELEMENTARY SCHOOL","50 POMONA Ave",94124,37.731736,-122.393522,"(37.731736, -122.393522)",14155331526,"5858_20180222","2/22/18",100,"","",""
5868,"LONGFELLOW ELEMENTARY SCHOOL","755 MORSE St",94112,37.710459,-122.447713,"(37.710459, -122.447713)",14155464730,"5868_20180220","2/20/18",100,"","",""
5893,"CLEVELAND ELEMENTARY SCHOOL","455 ATHENS St",94112,37.720765,-122.429004,"(37.720765, -122.429004)",14155464709,"5893_20180226","2/26/18",100,"","",""
5958,"ST. THOMAS THE APOSTLE","3801 BALBOA St",94121,37.775573,-122.499709,"(37.775573, -122.499709)",14155263257,"5958_20160908","9/8/16",100,"","",""
5605,"CALIF PACIFIC MEDICAL CTR - CART","2333 BUCHANAN St",94115,37.791426,-122.431039,"(37.791426, -122.431039)",14155923221,"5605_20180516","5/16/18",100,"","",""
4481,"Bi Rite Market","3639 18th St",94110,37.761483,-122.424688,"(37.761483, -122.424688)",14155249760,"4481_20160816","8/16/16",100,"","",""
68467,"Yong Fong Co.","612 Clement St",94118,37.782939,-122.465631,"(37.782939, -122.465631)",14155835617,"68467_20180521","5/21/18",100,"","",""
5898,"MONROE ELEMENTARY SCHOOL","260 MADRID St",94112,37.725199,-122.430106,"(37.725199, -122.430106)",14155464736,"5898_20160418","4/18/16",100,"","",""
5852,"CARVER ELEMENTARY SCHOOL","1360 OAKDALE Ave",94124,37.732408,-122.386391,"(37.732408, -122.386391)",14155331540,"5852_20160415","4/15/16",100,"","",""
5819,"MIRALOMA ELEMENTARY SCHOOL","175 OMAR Way",94127,37.739266,-122.450227,"(37.739266, -122.450227)",14155464734,"5819_20180227","2/27/18",100,"","",""
63651,"SFDH - Employee Cafeteria","450 Powell St Basement",94102,37.788918,-122.408507,"(37.788918, -122.408507)",14155397755,"63651_20160502","5/2/16",100,"","",""
5855,"SOTA (SCHOOL OF THE ARTS)","555 Portola Dr",94131,37.745674,-122.45085,"(37.745674, -122.45085)",14155695700,"5855_20180227","2/27/18",100,"","",""
5894,"SAN FRANCISCO COMMUNITY ELEM.SCHOOL","125 EXCELSIOR Ave",94112,37.725657,-122.432348,"(37.725657, -122.432348)",14155464739,"5894_20160418","4/18/16",100,"","",""
6021,"POTRERO HILL NEIGHBORHOOD House","953 De Haro St",94107,37.758134,-122.400926,"(37.758134, -122.400926)",14155828080,"6021_20180228","2/28/18",100,"","",""
5830,"Theodore Roosevelt Middle School","460 Arguello Blvd",94118,37.782383,-122.458926,"(37.782383, -122.458926)",14155758446,"5830_20161025","10/25/16",100,"","",""
5794,"LINCOLN HIGH SCHOOL","2162 24th Ave",94116,37.747228,-122.481299,"(37.747228, -122.481299)",14155752700,"5794_20180306","3/6/18",100,"","",""
5821,"MOSCONE ELEMENTARY SCHOOL","2576 HARRISON St",94110,37.756231,-122.412293,"(37.756231, -122.412293)",14155695736,"5821_20170926","9/26/17",100,"","",""
4478,"AFC Sushi @ Safeway #1490","2300 16th St",94103,37.765708,-122.409002,"(37.765708, -122.409002)",14155571120,"4478_20161024","10/24/16",100,"","",""
69237,"SPRESSA","51 Cambon Dr",94132,37.718254,-122.474427,"(37.718254, -122.474427)",14155231520,"69237_20171219","12/19/17",100,"","",""
35340,"Cornerstone Academy","501 Cambridge St",94134,37.724683,-122.41765,"(37.724683, -122.41765)",14155585183,"35340_20160406","4/6/16",100,"","",""
5894,"SAN FRANCISCO COMMUNITY ELEM.SCHOOL","125 EXCELSIOR Ave",94112,37.725657,-122.432348,"(37.725657, -122.432348)",14155464739,"5894_20160913","9/13/16",100,"","",""
5898,"MONROE ELEMENTARY SCHOOL","260 MADRID St",94112,37.725199,-122.430106,"(37.725199, -122.430106)",14155464736,"5898_20160913","9/13/16",100,"","",""
3262,"VILLA D'ESTE","2623 OCEAN Ave",94132,37.731781,-122.47359,"(37.731781, -122.47359)",14155330580,"3262_20160420","4/20/16",100,"","",""
5818,"MISSION ED. CENTER ELEMENTARY","1670 NOE St",94131,37.742294,-122.43104,"(37.742294, -122.43104)",14155695313,"5818_20180522","5/22/18",100,"","",""
70058,"Juice Shop","540 Barneveld Ave #C",94124,37.739526,-122.404457,"(37.739526, -122.404457)",14155734529,"70058_20151223","12/23/15",100,"","",""
5893,"CLEVELAND ELEMENTARY SCHOOL","455 ATHENS St",94112,37.720765,-122.429004,"(37.720765, -122.429004)",14155464709,"5893_20160913","9/13/16",100,"","",""
5812,"Zaida T. Rodriguez (ZTR) Annex Child Development Center","421  BARTLETT St",94110,37.750243,-122.419293,"(37.750243, -122.419293)",14155695844,"5812_20160425","4/25/16",100,"","",""
21583,"Cafe Royale","800 Post St",94109,37.787448,-122.415243,"(37.787448, -122.415243)",14159444099,"21583_20160818","8/18/16",100,"","",""
5811,"MANN MIDDLE SCHOOL","3351 23rd St",94110,37.753704,-122.420198,"(37.753704, -122.420198)",14155695881,"5811_20160425","4/25/16",100,"","",""
6904,"BUCHANAN FOOD MART","2135 BUCHANAN St",94115,37.789844,-122.430684,"(37.789844, -122.430684)",14155937420,"6904_20171215","12/15/17",100,"","",""
5867,"MALCOLM X ELEMENTARY SCHOOL","350 Harbor Rd",94124,37.733741,-122.380619,"(37.733741, -122.380619)",14155695950,"5867_20160914","9/14/16",100,"","",""
5871,"CHAVEZ ELEMENTARY SCHOOL","825 SHOTWELL St",94110,37.754805,-122.415376,"(37.754805, -122.415376)",14155695765,"5871_20170926","9/26/17",100,"","",""
4438,"DIANA MARKET #2","282 09th St",94103,37.774722,-122.406761,"(37.774722, -122.406761)",14155863189,"4438_20160823","8/23/16",100,"","",""
5843,"HOOVER MIDDLE SCHOOL","2290 14th Ave",94116,37.745374,-122.470308,"(37.745374, -122.470308)",14155752783,"5843_20180306","3/6/18",100,"","",""
5874,"HARTE ELEMENTARY SCHOOL","1035 GILMAN Ave",94124,37.718746,-122.389105,"(37.718746, -122.389105)",14155331520,"5874_20160914","9/14/16",100,"","",""
13374,"Rooftop Middle School","500 Corbett St.",94114,37.757398,-122.4442,"(37.757398, -122.4442)",14155526757,"13374_20180228","2/28/18",100,"","",""
68716,"The Sweet House","3512 BALBOA St",94121,37.775818,-122.496401,"(37.775818, -122.496401)",14155871388,"68716_20160819","8/19/16",100,"","",""
5888,"Bryant Elementary School","2641 25th St",94110,37.751776,-122.404626,"(37.751776, -122.404626)",14155695875,"5888_20171002","10/2/17",100,"","",""
6756,"Godiva Chocolatier Inc.","3251 20th Ave 154",94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155565058,"6756_20160401","4/1/16",100,"","",""
6756,"Godiva Chocolatier Inc.","3251 20th Ave 154",94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155565058,"6756_20161207","12/7/16",100,"","",""
5897,"BRET HARTE CHILDREN'S CENTER","950 HOLLISTER Ave",94124,37.718375,-122.390006,"(37.718375, -122.390006)",14155331545,"5897_20160914","9/14/16",100,"","",""
2676,"FIREFLY","4288 24th St",94114,37.751068,-122.438242,"(37.751068, -122.438242)",14155827652,"2676_20160513","5/13/16",100,"","",""
5848,"Ida B Wells Continuation High School","1099 Hayes St",94117,37.775443,-122.433977,"(37.775443, -122.433977)",14155246315,"5848_20180516","5/16/18",100,"","",""
5858,"DREW ELEMENTARY SCHOOL","50 POMONA Ave",94124,37.731736,-122.393522,"(37.731736, -122.393522)",14155331526,"5858_20160914","9/14/16",100,"","",""
6037,"CASTRO SENIOR CENTER","110 Diamond St",94114,37.760317,-122.437185,"(37.760317, -122.437185)",14155863507,"6037_20160826","8/26/16",100,"","",""
4987,"ROSSI'S DELI","426 Castro St",94114,37.761954,-122.435168,"(37.761954, -122.435168)",14155864533,"4987_20160825","8/25/16",100,"","",""
5926,"SAN FRANCISCO SCHOOL, THE","300 GAVEN St",94134,37.732518,-122.411648,"(37.732518, -122.411648)",14155235065,"5926_20160412","4/12/16",100,"","",""
