"business_id","business_name","business_address","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","violation_id","violation_description","risk_category"
33700,"Casa Guadalupe #3","2999 MISSION",94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,"33700_20160412","4/12/16",90,"33700_20160412_103145","Improper storage of equipment utensils or linens","Low Risk"
3253,"S F GOLF CLUB","1310 Junipero Serra Blvd",94132,37.711329,-122.471316,"(37.711329, -122.471316)",14155464100,"3253_20160413","4/13/16",88,"3253_20160413_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
4917,"LA VICTORIA BAKERY","2937 24th St",94110,37.752373,-122.410876,"(37.752373, -122.410876)",14155647120,"4917_20160906","9/6/16",78,"4917_20160906_103142","Unclean nonfood contact surfaces","Low Risk"
4685,"NORMAN'S LIQUOR & DELI","733 Randolph St",94132,37.714204,-122.469193,"(37.714204, -122.469193)",14155580088,"4685_20161203","12/3/16",96,"4685_20161203_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
62064,"California Grocery","123 Eddy St",94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,"62064_20160411","4/11/16",75,"62064_20160411_103139","Improper food storage","Low Risk"
4479,"Courtney's Produce II","101 CASTRO St",94114,37.767194,-122.435576,"(37.767194, -122.435576)",14155621850,"4479_20170105","1/5/17",92,"4479_20170105_103141","Improper food labeling or menu misrepresentation","Low Risk"
33700,"Casa Guadalupe #3","2999 MISSION",94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,"33700_20160412","4/12/16",90,"33700_20160412_103138","Improper storage use or identification of toxic substances","Low Risk"
64380,"Michael Mina Restaurant","252 California St",94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791,"64380_20160414","4/14/16",86,"64380_20160414_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
69181,"Cha-Ya Restaurant","762 Valencia St",94110,37.760777,-122.421505,"(37.760777, -122.421505)",14155257825,"69181_20160330","3/30/16",92,"69181_20160330_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
774,"BAY VIEW BOAT CLUB","429 Terry Francois St",94107,37.772667,-122.387032,"(37.772667, -122.387032)",14155567650,"774_20161205","12/5/16",90,"774_20161205_103157","Food safety certificate or food handler card not available","Low Risk"
62578,"New Chef Hung's Restaurant","823 Clay St",94108,37.794193,-122.406677,"(37.794193, -122.406677)",14155396883,"62578_20171207","12/7/17",66,"62578_20171207_103141","Improper food labeling or menu misrepresentation","Low Risk"
3228,"THANH LONG RESTAURANT","4101 JUDAH St",94122,37.760383,-122.50609,"(37.760383, -122.50609)",14155257984,"3228_20160330","3/30/16",92,"3228_20160330_103157","Food safety certificate or food handler card not available","Low Risk"
7755,"ARIZMENDI BAKERY","1331 09th Ave",94122,37.763448,-122.466344,"(37.763448, -122.466344)",14155563117,"7755_20180904","9/4/18",92,"7755_20180904_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
69792,"Samiramis Imports","2990 MISSION St",94110,37.74923,-122.418224,"(37.74923, -122.418224)",14155826555,"69792_20160412","4/12/16",88,"69792_20160412_103177","Non service animal","Low Risk"
2497,"PLUTO'S","3258 SCOTT St",94123,37.799796,-122.441041,"(37.799796, -122.441041)",14155778867,"2497_20160607","6/7/16",85,"2497_20160607_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
33160,"Mission Bay Cafe","550 Terry Francois St",94158,37.770518,-122.386525,"(37.770518, -122.386525)",14155831002,"33160_20161205","12/5/16",94,"33160_20161205_103165","No plan review or Building Permit","Low Risk"
69282,"New Jumbo Seafood Restaurant","1532 NORIEGA St",94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,"69282_20160413","4/13/16",76,"69282_20160413_103147","Inadequate ventilation or lighting","Low Risk"
2134,"CHIEFTAIN IRISH PUB, THE","198 05th St",94103,37.781567,-122.405059,"(37.781567, -122.405059)",14155610916,"2134_20171211","12/11/17",87,"2134_20171211_103154","Unclean or degraded floors walls or ceilings","Low Risk"
4917,"LA VICTORIA BAKERY","2937 24th St",94110,37.752373,-122.410876,"(37.752373, -122.410876)",14155647120,"4917_20160906","9/6/16",78,"4917_20160906_103154","Unclean or degraded floors walls or ceilings","Low Risk"
66536,"Cypress Grill","99 Harding Park Rd",94132,37.723698,-122.495289,"(37.723698, -122.495289)",14155664690,"66536_20160413","4/13/16",90,"66536_20160413_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
4794,"VICTOR'S","210 TOWNSEND St",94107,37.778634,-122.393089,"(37.778634, -122.393089)",14155607018,"4794_20170105","1/5/17",90,"4794_20170105_103157","Food safety certificate or food handler card not available","Low Risk"
999,"SERRANO'S PIZZA II","3274 21st St",94110,37.756997,-122.420534,"(37.756997, -122.420534)",14155691615,"999_20160503","5/3/16",81,"999_20160503_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
2638,"SF BAGEL CO. (KATZ BAGELS)","3147 16th St",94103,37.764814,-122.423089,"(37.764814, -122.423089)",14155559050,"2638_20180830","8/30/18",86,"2638_20180830_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
68773,"Nopalito","1224 9th Ave",94122,37.765412,-122.466375,"(37.765412, -122.466375)",14155430303,"68773_20180214","2/14/18",90,"68773_20180214_103161","Low risk vermin infestation","Low Risk"
4787,"TONY BALONEY'S","1098 HOWARD St",94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514,"4787_20160628","6/28/16",83,"4787_20160628_103157","Food safety certificate or food handler card not available","Low Risk"
3228,"THANH LONG RESTAURANT","4101 JUDAH St",94122,37.760383,-122.50609,"(37.760383, -122.50609)",14155257984,"3228_20160330","3/30/16",92,"3228_20160330_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
7488,"EUROPA EXPRESS","746-750 LA PLAYA St",94121,37.774248,-122.510043,"(37.774248, -122.510043)",14155644917,"7488_20180209","2/9/18",94,"7488_20180209_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
5905,"MARINA MIDDLE SCHOOL","3500 FILLMORE St",94123,37.801776,-122.43641,"(37.801776, -122.43641)",14155743495,"5905_20160325","3/25/16",92,"5905_20160325_103147","Inadequate ventilation or lighting","Low Risk"
4917,"LA VICTORIA BAKERY","2937 24th St",94110,37.752373,-122.410876,"(37.752373, -122.410876)",14155647120,"4917_20160906","9/6/16",78,"4917_20160906_103156","Permit license or inspection report not posted","Low Risk"
999,"SERRANO'S PIZZA II","3274 21st St",94110,37.756997,-122.420534,"(37.756997, -122.420534)",14155691615,"999_20160503","5/3/16",81,"999_20160503_103139","Improper food storage","Low Risk"
10886,"Taste of Formosa","2428 CLEMENT ST",94121,37.782018,-122.485421,"(37.782018, -122.485421)",14155666368,"10886_20180906","9/6/18",88,"10886_20180906_103162","Other low risk violation","Low Risk"
69792,"Samiramis Imports","2990 MISSION St",94110,37.74923,-122.418224,"(37.74923, -122.418224)",14155826555,"69792_20160412","4/12/16",88,"69792_20160412_103139","Improper food storage","Low Risk"
33700,"Casa Guadalupe #3","2999 MISSION",94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,"33700_20160412","4/12/16",90,"33700_20160412_103141","Improper food labeling or menu misrepresentation","Low Risk"
774,"BAY VIEW BOAT CLUB","429 Terry Francois St",94107,37.772667,-122.387032,"(37.772667, -122.387032)",14155567650,"774_20161205","12/5/16",90,"774_20161205_103145","Improper storage of equipment utensils or linens","Low Risk"
2755,"SOCIALE","3665 SACRAMENTO St",94118,37.787364,-122.45299,"(37.787364, -122.45299)",14155920309,"2755_20161205","12/5/16",85,"2755_20161205_103154","Unclean or degraded floors walls or ceilings","Low Risk"
2134,"CHIEFTAIN IRISH PUB, THE","198 05th St",94103,37.781567,-122.405059,"(37.781567, -122.405059)",14155610916,"2134_20161109","11/9/16",87,"2134_20161109_103142","Unclean nonfood contact surfaces","Low Risk"
5905,"MARINA MIDDLE SCHOOL","3500 FILLMORE St",94123,37.801776,-122.43641,"(37.801776, -122.43641)",14155743495,"5905_20160325","3/25/16",92,"5905_20160325_103145","Improper storage of equipment utensils or linens","Low Risk"
5951,"ST. THOMAS MORE","50 THOMAS MORE Way",94132,37.712259,-122.47308,"(37.712259, -122.47308)",14155330100,"5951_20160413","4/13/16",91,"5951_20160413_103157","Food safety certificate or food handler card not available","Low Risk"
1641,"MARTHA & BROS. COFFEE CO","1551 Church St",94131,37.745974,-122.426856,"(37.745974, -122.426856)",14155641166,"1641_20160812","8/12/16",84,"1641_20160812_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
69282,"New Jumbo Seafood Restaurant","1532 NORIEGA St",94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,"69282_20160413","4/13/16",76,"69282_20160413_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
62064,"California Grocery","123 Eddy St",94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,"62064_20160411","4/11/16",75,"62064_20160411_103154","Unclean or degraded floors walls or ceilings","Low Risk"
3920,"BOSTON MARKET","2300 16th St",94103,37.765708,-122.409002,"(37.765708, -122.409002)",14155867666,"3920_20160516","5/16/16",88,"3920_20160516_103154","Unclean or degraded floors walls or ceilings","Low Risk"
5118,"KFC","1150 TARAVAL St",94116,37.742948,-122.478732,"(37.742948, -122.478732)",14155733314,"5118_20161207","12/7/16",98,"5118_20161207_103154","Unclean or degraded floors walls or ceilings","Low Risk"
1005,"CHAVITA'S MEXICAN RESTAURANT","3006 MISSION St",94110,37.748855,-122.418134,"(37.748855, -122.418134)",14155286927,"1005_20160502","5/2/16",84,"1005_20160502_103154","Unclean or degraded floors walls or ceilings","Low Risk"
5033,"DESTINATION BAKING COMPANY","598 Chenery St",94131,37.734619,-122.432379,"(37.734619, -122.432379)",14155460730,"5033_20170104","1/4/17",86,"5033_20170104_103142","Unclean nonfood contact surfaces","Low Risk"
62064,"California Grocery","123 Eddy St",94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,"62064_20160411","4/11/16",75,"62064_20160411_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
3253,"S F GOLF CLUB","1310 Junipero Serra Blvd",94132,37.711329,-122.471316,"(37.711329, -122.471316)",14155464100,"3253_20160413","4/13/16",88,"3253_20160413_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
5999,"The Salvation Army","1156 Valencia St",94110,37.754397,-122.420915,"(37.754397, -122.420915)",14155640260,"5999_20180724","7/24/18",90,"5999_20180724_103157","Food safety certificate or food handler card not available","Low Risk"
5033,"DESTINATION BAKING COMPANY","598 Chenery St",94131,37.734619,-122.432379,"(37.734619, -122.432379)",14155460730,"5033_20170104","1/4/17",86,"5033_20170104_103154","Unclean or degraded floors walls or ceilings","Low Risk"
28044,"Century Theatres","845 Market St Suite 500",94103,37.784848,-122.406892,"(37.784848, -122.406892)",14155538422,"28044_20171212","12/12/17",98,"28044_20171212_103154","Unclean or degraded floors walls or ceilings","Low Risk"
1005,"CHAVITA'S MEXICAN RESTAURANT","3006 MISSION St",94110,37.748855,-122.418134,"(37.748855, -122.418134)",14155286927,"1005_20160502","5/2/16",84,"1005_20160502_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
5033,"DESTINATION BAKING COMPANY","598 Chenery St",94131,37.734619,-122.432379,"(37.734619, -122.432379)",14155460730,"5033_20170104","1/4/17",86,"5033_20170104_103156","Permit license or inspection report not posted","Low Risk"
4864,"DRAGON CITY BAKERY & CAFE","2367 MISSION St",94110,37.759174,-122.419066,"(37.759174, -122.419066)",14155829718,"4864_20161206","12/6/16",84,"4864_20161206_103161","Low risk vermin infestation","Low Risk"
3869,"SAFEWAY #739","3350 MISSION St",94110,37.742998,-122.421638,"(37.742998, -122.421638)",14155822866,"3869_20180608","6/8/18",94,"3869_20180608_103139","Improper food storage","Low Risk"
300,"SUBWAY","2001 VAN NESS Ave",94109,37.794134,-122.423234,"(37.794134, -122.423234)",14155779929,"300_20171208","12/8/17",86,"300_20171208_103143","Inadequate warewashing facilities or equipment","Low Risk"
